Date,Open,High,Low,Close,Volume
6/18/2026,$363.89 ,$369.00 ,$356.61 ,$367.46 ,29339120
6/17/2026,$367.05 ,$370.15 ,$360.23 ,$362.10 ,16003510
6/16/2026,$367.47 ,$373.60 ,$365.32 ,$371.10 ,16492790
6/15/2026,$365.99 ,$370.65 ,$364.65 ,$367.11 ,17268650
6/12/2026,$361.10 ,$364.77 ,$353.34 ,$358.16 ,17657660
6/11/2026,$353.05 ,$358.01 ,$343.63 ,$356.56 ,28771800
6/10/2026,$361.05 ,$366.31 ,$352.81 ,$353.32 ,19878640
6/9/2026,$364.89 ,$369.69 ,$354.72 ,$362.29 ,19873600
6/8/2026,$362.49 ,$363.38 ,$357.89 ,$361.17 ,18738970
6/5/2026,$363.38 ,$369.20 ,$361.63 ,$365.76 ,23411520
6/4/2026,$355.44 ,$369.86 ,$354.80 ,$369.27 ,37746170
6/3/2026,$358.34 ,$362.50 ,$354.38 ,$355.68 ,43031000
6/2/2026,$363.16 ,$369.79 ,$355.00 ,$358.39 ,34648620
6/1/2026,$372.58 ,$374.60 ,$369.71 ,$372.58 ,19091890
5/29/2026,$381.23 ,$381.65 ,$374.30 ,$376.43 ,48018560
5/28/2026,$383.86 ,$390.00 ,$381.25 ,$386.12 ,20795410
5/27/2026,$382.77 ,$389.73 ,$382.00 ,$384.83 ,16893150
5/26/2026,$381.00 ,$385.39 ,$379.14 ,$384.84 ,16150930
5/22/2026,$383.26 ,$384.87 ,$378.26 ,$379.38 ,13382790
5/21/2026,$382.01 ,$388.68 ,$379.48 ,$383.47 ,16837600
5/20/2026,$385.04 ,$390.70 ,$380.00 ,$384.90 ,16488130
5/19/2026,$393.30 ,$393.36 ,$383.00 ,$384.90 ,25559380
5/18/2026,$392.13 ,$404.47 ,$390.90 ,$393.11 ,18592790
5/15/2026,$393.22 ,$395.88 ,$389.76 ,$393.32 ,15801940
5/14/2026,$393.79 ,$399.10 ,$392.73 ,$397.17 ,13805370
5/13/2026,$381.91 ,$399.93 ,$381.58 ,$399.04 ,18160120
